## Hello World
# label: %step%
# style: shape=%shape%;fillColor=%fill%;strokeColor=%stroke%;
# namespace: csvimport-
# connect: {"from":"refs", "to":"id", "invert":true, "style":"curved=0;endArrow=blockThin;endFill=1;"}
# width: auto
# height: auto
# padding: 15
# ignore: id,shape,fill,stroke,refs
# nodespacing: 40
# levelspacing: 100
# edgespacing: 40
# layout: auto
## CSV starts under this line
id,step,fill,stroke,shape,refs
1,Accunetics,#dae8fc,#6c8ebf,rectangle,
2,Active Directory,#dae8fc,#6c8ebf,rectangle,
3,Akamai,#dae8fc,#6c8ebf,rectangle,
4,AntiSpam,#dae8fc,#6c8ebf,rectangle,
5,Aranda CMDB,#dae8fc,#6c8ebf,rectangle,
6,ArcSigth,#dae8fc,#6c8ebf,rectangle,
7,Asistente Virtual CXP,#dae8fc,#6c8ebf,rectangle,
8,ATM,#dae8fc,#6c8ebf,rectangle,
9,Azure,#dae8fc,#6c8ebf,rectangle,
10,Banca Móvil,#dae8fc,#6c8ebf,rectangle,
11,BI,#dae8fc,#6c8ebf,rectangle,
12,BI-Business Objects,#dae8fc,#6c8ebf,rectangle,
13,BI-Campaing Manager,#dae8fc,#6c8ebf,rectangle,
14,BI-Hyperion,#dae8fc,#6c8ebf,rectangle,
15,BI-Loyalty,#dae8fc,#6c8ebf,rectangle,
16,BI-OBIEE,#dae8fc,#6c8ebf,rectangle,
17,BI-Planning,#dae8fc,#6c8ebf,rectangle,
18,BI-Project Server,#dae8fc,#6c8ebf,rectangle,
19,BI-Siebel,#dae8fc,#6c8ebf,rectangle,
20,BI-Tableau,#dae8fc,#6c8ebf,rectangle,
21,BPMS Bizagi,#dae8fc,#6c8ebf,rectangle,
22,Certificados Digitales,#dae8fc,#6c8ebf,rectangle,
23,CHAT BOT,#dae8fc,#6c8ebf,rectangle,
24,CITRIX,#dae8fc,#6c8ebf,rectangle,
25,Correo Electrónico,#dae8fc,#6c8ebf,rectangle,
26,CyberArk,#dae8fc,#6c8ebf,rectangle,
27,Datapro,#dae8fc,#6c8ebf,rectangle,
28,Enlaces MPLS,#dae8fc,#6c8ebf,rectangle,
29,ESB,#dae8fc,#6c8ebf,rectangle,
30,ID único,#dae8fc,#6c8ebf,rectangle,
31,Intelilink VISA,#dae8fc,#6c8ebf,rectangle,
32,IVR,#dae8fc,#6c8ebf,rectangle,
33,Jenkins y Sonar,#dae8fc,#6c8ebf,rectangle,
34,JIRA,#dae8fc,#6c8ebf,rectangle,
35,Lotus Traveler,#dae8fc,#6c8ebf,rectangle,
36,Monitoreo Alertsite,#dae8fc,#6c8ebf,rectangle,
37,Monitoreo Antifraude,#dae8fc,#6c8ebf,rectangle,
38,Monitoreo de Fraudes (Monitor Plus),#dae8fc,#6c8ebf,rectangle,
39,Monitoreo Nagios,#dae8fc,#6c8ebf,rectangle,
40,Monitoreo New Relic,#dae8fc,#6c8ebf,rectangle,
41,NAC,#dae8fc,#6c8ebf,rectangle,
42,NCM,#dae8fc,#6c8ebf,rectangle,
43,Nessus,#dae8fc,#6c8ebf,rectangle,
44,NextPose,#dae8fc,#6c8ebf,rectangle,
45,OMDM,#dae8fc,#6c8ebf,rectangle,
46,OTRS,#dae8fc,#6c8ebf,rectangle,
47,PDE,#dae8fc,#6c8ebf,rectangle,
48,Risk Based Authentication (RBA),#dae8fc,#6c8ebf,rectangle,
49,RPA (Automatización Robotica),#dae8fc,#6c8ebf,rectangle,
50,RSA,#dae8fc,#6c8ebf,rectangle,
51,SafeGuard,#dae8fc,#6c8ebf,rectangle,
52,Safenet,#dae8fc,#6c8ebf,rectangle,
53,Safetone,#dae8fc,#6c8ebf,rectangle,
54,SAO,#dae8fc,#6c8ebf,rectangle,
55,SAP-GRC AC,#dae8fc,#6c8ebf,rectangle,
56,SAP - ERP,#dae8fc,#6c8ebf,rectangle,
57,SAP Fiori Cloud Platform,#dae8fc,#6c8ebf,rectangle,
58,SAP Router,#dae8fc,#6c8ebf,rectangle,
59,SAP Succes Factor,#dae8fc,#6c8ebf,rectangle,
60,SCU,#dae8fc,#6c8ebf,rectangle,
61,Security Awareness,#dae8fc,#6c8ebf,rectangle,
62,SEP,#dae8fc,#6c8ebf,rectangle,
63,SEP Windows Core,#dae8fc,#6c8ebf,rectangle,
64,ServiceNow,#dae8fc,#6c8ebf,rectangle,
65,Servicio al cliente,#dae8fc,#6c8ebf,rectangle,
66,SharePoint de Calidad,#dae8fc,#6c8ebf,rectangle,
67,Siebel,#dae8fc,#6c8ebf,rectangle,
68,Sistema de calidad QSI,#dae8fc,#6c8ebf,rectangle,
69,Sophos,#dae8fc,#6c8ebf,rectangle,
70,Storage,#dae8fc,#6c8ebf,rectangle,
71,SVN Documentación,#dae8fc,#6c8ebf,rectangle,
72,SVN Fuentes,#dae8fc,#6c8ebf,rectangle,
73,Teamstudio,#dae8fc,#6c8ebf,rectangle,
74,TIVOLI MONITORING,#dae8fc,#6c8ebf,rectangle,
75,Tokenización,#dae8fc,#6c8ebf,rectangle,
76,TRIAD,#dae8fc,#6c8ebf,rectangle,
77,UMS,#dae8fc,#6c8ebf,rectangle,
78,Virtualización,#dae8fc,#6c8ebf,rectangle,
79,Virtualizador de servicios,#dae8fc,#6c8ebf,rectangle,
80,VPOS,#dae8fc,#6c8ebf,rectangle,
81,Web Content Manager,#dae8fc,#6c8ebf,rectangle,
82,WhatsApp Enterprise,#dae8fc,#6c8ebf,rectangle,
83,Wiki DICA,#dae8fc,#6c8ebf,rectangle,
