Project Key,Project Name,Story Key,Status,Priority,Created,Summary
ET,BitCode Team,ET-15249,Tareas por hacer,Highest,2024-08-28T16:03:30.550-0600,Conexión bases de datos UAT y STg desde devops
ADI,Investor,ADI-9818,En curso,Highest,2024-08-28T15:30:57.595-0600,CherryPick  Pase R101
ET,BitCode Team,ET-15238,Finalizada,Highest,2024-08-28T11:25:20.918-0600,Soporte: Documentaciòn y Ejecuciòn RFC MS-NOTIFICACIONES CONTG
ET,BitCode Team,ET-15237,Finalizada,Highest,2024-08-28T11:24:45.266-0600,Soporte control contable: ejecución de cierres de recaudación de afiliados y conciliaciones automáticas para el 27-08-2024.
ET,BitCode Team,ET-15236,Finalizada,Highest,2024-08-28T11:24:30.706-0600,Soporte control contable: ejecución de cierres de recaudación de afiliados y conciliaciones automáticas para el 24-08-2024.
ET,BitCode Team,ET-15235,Finalizada,Highest,2024-08-28T11:24:12.415-0600,Soporte control contable: ejecución de cierres de recaudación de afiliados y conciliaciones automáticas para el 22-08-2024.
ET,BitCode Team,ET-15234,Finalizada,Highest,2024-08-28T11:24:01.311-0600,Soporte control contable: ejecución de cierres de recaudación de afiliados y conciliaciones automáticas para el 21-08-2024.
ET,BitCode Team,ET-15233,Finalizada,Highest,2024-08-28T11:23:39.894-0600,Soporte control contable: ejecución de cierres de recaudación de afiliados y conciliaciones automáticas para el 16-08-2024.
ET,BitCode Team,ET-15232,Finalizada,Highest,2024-08-28T11:23:25.636-0600,Soporte control contable: ejecución de cierres de recaudación de afiliados y conciliaciones automáticas para el 15-08-2024.
VISN,Visionarios,VISN-584,Finalizada,Highest,2024-08-27T13:47:26.719-0600,Asignación de ordenes compartidas por orden de continuidad
ADI,Investor,ADI-9817,Tareas por hacer,Highest,2024-08-27T11:37:24.748-0600,Investigación Ajuste al asiento de comisión de administración Diario
ADI,Investor,ADI-9816,Tareas por hacer,Highest,2024-08-27T11:24:38.018-0600,Ajustar Calculo de comisión de Administración
ADI,Investor,ADI-9815,Tareas por hacer,Highest,2024-08-27T11:14:16.266-0600,Ajuste en Mantenimiento de Fondos
WP,Scrumverse,WP-2721,Tareas por hacer,Highest,2024-08-27T11:11:03.812-0600,Ajuste en colocación de datos de invitados
OS,OPC Squad,OS-12292,Tareas por hacer,Highest,2024-08-26T10:57:10.467-0600,Generación automática de Pre Solicitudes de Retiro
DFD,Defenders,DFD-5468,Tareas por hacer,Highest,2024-08-26T10:19:12.929-0600,Unificar las fuentes y tamaños de los reportes Parte 2
DFD,Defenders,DFD-5467,Tareas por hacer,Highest,2024-08-26T10:18:36.272-0600,Unificar las fuentes y tamaños de los reportes Parte 1
DFD,Defenders,DFD-5466,Tareas por hacer,Highest,2024-08-26T10:18:03.660-0600,Realizar Unificación de datos en Contrato de Pagos Electrónicos
DFD,Defenders,DFD-5465,Tareas por hacer,Highest,2024-08-26T10:17:21.336-0600,Cambiar el logo y sello de agua Parte 2
DFD,Defenders,DFD-5464,En curso,Highest,2024-08-26T10:16:06.654-0600,Cambiar el logo y sello de agua Parte 1
PP,Bug Hunters,PP-11339,Finalizada,Highest,2024-08-26T09:02:07.923-0600,Crear consulta de retiros de efectivo Ajustes 2
ET,BitCode Team,ET-15200,Tareas por hacer,Highest,2024-08-21T15:11:32.381-0600,MS Report: Ajuste para exportar reporte consolidado
ET,BitCode Team,ET-15199,Tareas por hacer,Highest,2024-08-21T15:11:24.054-0600,MS Report: Ajuste para exportar reporte detallado
ET,BitCode Team,ET-15198,Tareas por hacer,Highest,2024-08-21T15:09:44.257-0600,MS Portal Comercio habilitar paginación reporte detallado y consolidado
ET,BitCode Team,ET-15197,Tareas por hacer,Highest,2024-08-21T15:07:44.062-0600,MS Report: Paginación reporte consolidado Portal Comercio
ET,BitCode Team,ET-15196,Tareas por hacer,Highest,2024-08-21T15:07:34.350-0600,MS Report: Paginación reporte detallado Portal Comercio
ET,BitCode Team,ET-15195,Tareas por hacer,Highest,2024-08-21T15:04:54.662-0600,MS Maintenance: Habilitar cambio de agencia para los usuarios
ET,BitCode Team,ET-15194,Tareas por hacer,Highest,2024-08-21T15:04:01.042-0600,MS Portal comercio: Habilitar cambio de agencia para los usuarios
ET,BitCode Team,ET-15193,Tareas por hacer,Highest,2024-08-21T14:29:06.949-0600,Apoyo configuración afiliados
ET,BitCode Team,ET-15192,Tareas por hacer,Highest,2024-08-21T14:27:27.684-0600,MS CORE: Desarrollo de lógica en desencriptación de campos
ET,BitCode Team,ET-15191,En curso,Highest,2024-08-21T14:24:11.136-0600,Ajustes de campos visibles en afiliados Portal
ET,BitCode Team,ET-15181,Finalizada,Highest,2024-08-21T13:53:55.416-0600,GITOPS: Ajuste release 72080
ET,BitCode Team,ET-15180,Finalizada,Highest,2024-08-21T11:32:23.840-0600,GitOps: quitar despliegue del ms exchange-rate en prod
ET,BitCode Team,ET-15179,Tareas por hacer,Highest,2024-08-21T11:32:09.774-0600,BD: Crear plantillas de AS400 para las cuentas de diferenciales por tasa de cambio
ET,BitCode Team,ET-15178,En curso,Highest,2024-08-21T11:31:56.782-0600,MS Reconciliation: Implementar cuentas para diferenciales por tasa de cambio en asientos contables
ET,BitCode Team,ET-15177,Finalizada,Highest,2024-08-21T11:31:37.752-0600,MS Reconciliation: Validacion de comisiones en cero para afiliados BN
PP,Bug Hunters,PP-11331,Finalizada,Highest,2024-08-21T09:32:48.866-0600,Ajuste a consulta 216
ET,BitCode Team,ET-15175,Finalizada,Highest,2024-08-21T08:41:32.214-0600,Soporte Validacion con equipo de Servimas el caso comision en cero Afiliados BN y diferencial por tasa de cambio 2024-08-20
ET,BitCode Team,ET-15174,Finalizada,Highest,2024-08-21T08:41:12.016-0600,Soporte Solicitar y apoyar a Andrei en arreglo de ETL Migracion pagos Servimas que limpie primero la tabla para la fecha de migracion 2024-08-20
ET,BitCode Team,ET-15173,Finalizada,Highest,2024-08-21T08:40:58.694-0600,Soporte cierres contables 20/08/2024
ET,BitCode Team,ET-15172,Finalizada,Highest,2024-08-21T08:40:46.481-0600,Soporte migracion de pagos servimas del 2024-08-18
ET,BitCode Team,ET-15171,Finalizada,Highest,2024-08-21T08:40:12.396-0600,Soporte cierres contables 15/08/2024
ADI,Investor,ADI-9794,Tareas por hacer,Highest,2024-08-20T11:42:02.255-0600,Ajuste sobre mantenimiento de CIF
ADI,Investor,ADI-9793,Tareas por hacer,Highest,2024-08-20T11:29:01.891-0600,Generación contable de los Registros de Gastos
ADI,Investor,ADI-9791,Tareas por hacer,Highest,2024-08-20T11:18:07.715-0600,Ajuste al mantenimiento de Tipos de Gastos **ADI-9790**ADI-9792**
ADI,Investor,ADI-9789,Tareas por hacer,Highest,2024-08-20T10:55:56.369-0600,Mantenimiento de carga de Plantillas contables
ADI,Investor,ADI-9788,Tareas por hacer,Highest,2024-08-20T10:36:33.570-0600,Ajustes finales en Modulo de Gastos
PP,Bug Hunters,PP-11327,Finalizada,Highest,2024-08-20T09:34:44.770-0600,Modificar filtros de catalogo de clientes referidos
ET,BitCode Team,ET-15159,Finalizada,Highest,2024-08-19T09:23:17.588-0600,Soporte control contable: Cierre y conciliaciones 19/08/2024
ET,BitCode Team,ET-15157,Finalizada,Highest,2024-08-14T16:39:08.736-0600,BE: Pantalla de anulaciones
ET,BitCode Team,ET-15156,Finalizada,Highest,2024-08-14T16:37:19.223-0600,"Spike: Implementación de cluster k8s (publi conectivity, STG prod en contingencia)"
ET,BitCode Team,ET-15155,En curso,Highest,2024-08-14T16:35:08.070-0600,Continuación Base de datos uso de Pipeline
ET,BitCode Team,ET-15154,Finalizada,Highest,2024-08-14T16:30:49.106-0600,Configurable encendido automático de agente DevOps
ET,BitCode Team,ET-15153,Finalizada,Highest,2024-08-14T16:29:21.918-0600,Spike: Migración microservicios PCI
ET,BitCode Team,ET-15152,Finalizada,Highest,2024-08-14T16:28:17.098-0600,Configurar en DevOps Portal Corresponsales
ET,BitCode Team,ET-15151,En curso,Highest,2024-08-14T16:28:02.897-0600,Configurar en DevOps Portal Comercios
ET,BitCode Team,ET-15150,En curso,Highest,2024-08-14T16:25:08.018-0600,MS Portal Comercio: Habilitar proceso de pago de tiquete
ET,BitCode Team,ET-15149,Finalizada,Highest,2024-08-14T16:21:50.261-0600,MS Portal Comercio: Vista anulación pago de tiquetes
ET,BitCode Team,ET-15148,Tareas por hacer,Highest,2024-08-14T16:18:04.046-0600,Spike: Implementación de las tasas de cambio en el Core
ET,BitCode Team,ET-15147,Tareas por hacer,Highest,2024-08-14T16:05:52.792-0600,Spike: permiso de uso de servicio de TC BAC en produccion
ET,BitCode Team,ET-15146,Tareas por hacer,Highest,2024-08-14T16:05:37.853-0600,BD: Modificar SP [USP_GET_PAYMENTS_BY_ORIGIN] de reporte detallado para validar rubros duplicados
ET,BitCode Team,ET-15145,En curso,Highest,2024-08-14T16:05:24.254-0600,MS ExchangeRate: pruebas de unidad
ET,BitCode Team,ET-15144,Tareas por hacer,Highest,2024-08-14T16:03:37.251-0600,Configurar reversiones Cafsa
ET,BitCode Team,ET-15143,Tareas por hacer,Highest,2024-08-14T16:03:09.051-0600,Configurar pago Cafsa
ET,BitCode Team,ET-15142,Tareas por hacer,Highest,2024-08-14T16:02:46.506-0600,Configurar consulta Cafsa
ET,BitCode Team,ET-15141,En curso,Highest,2024-08-14T16:02:30.297-0600,Spike: Revisar afiliado Cafsa
ET,BitCode Team,ET-15140,Finalizada,Highest,2024-08-14T15:53:24.991-0600,Apoyo de configuracion de afiliados
ET,BitCode Team,ET-15139,Finalizada,Highest,2024-08-14T15:53:04.220-0600,Spike: Revisar consumo de servicio de BN
ET,BitCode Team,ET-15138,Finalizada,Highest,2024-08-14T15:40:58.914-0600,Pruebas de datos sensibles afiliados de Portal
ET,BitCode Team,ET-15137,Finalizada,Highest,2024-08-14T15:40:42.432-0600,Pruebas de datos sensibles afiliados de Portal
ET,BitCode Team,ET-15136,Finalizada,Highest,2024-08-14T15:38:14.125-0600,Pase a producción Portal datos sensibles
ET,BitCode Team,ET-15135,Finalizada,Highest,2024-08-14T15:38:07.202-0600,Pase a producción Baclink datos sensibles
OS,OPC Squad,OS-12235,Tareas por hacer,Highest,2024-08-14T15:36:52.884-0600,Validación carga planilla
OS,OPC Squad,OS-12234,Tareas por hacer,Highest,2024-08-14T15:29:20.808-0600,Validación # de contrato Carga Planilla
ET,BitCode Team,ET-15134,Finalizada,Highest,2024-08-14T14:12:50.967-0600,MS ExchangeRate: Integracion de tasa de cambio BAC en Endpoint de consulta
ET,BitCode Team,ET-15133,Finalizada,Highest,2024-08-14T14:12:19.664-0600,MS ExchangeRate: Cifrado de certificado y credenciales de usuarios en BD
ET,BitCode Team,ET-15127,Finalizada,Highest,2024-08-14T10:24:28.321-0600,Soporte control contable: ejecución de cierres de recaudación de afiliados y conciliaciones automáticas para el 10-08-2024.
ET,BitCode Team,ET-15126,Finalizada,Highest,2024-08-14T10:24:19.436-0600,Soporte control contable: ejecución de cierres de recaudación de afiliados y conciliaciones automáticas para el 04-08-2024.
OS,OPC Squad,OS-12209,Tareas por hacer,Highest,2024-08-13T12:23:54.499-0600,Validación rechazo de gestión de ajuste saldo de inversión
WP,Scrumverse,WP-2712,Finalizada,Highest,2024-08-13T12:12:30.173-0600,Descarga de contrato
WP,Scrumverse,WP-2711,En curso,Highest,2024-08-13T12:09:36.622-0600,Ampliación de búsqueda de tags
ET,BitCode Team,ET-15095,Finalizada,Highest,2024-08-13T10:49:08.630-0600,Añadir MS-CACHE a TANZU
ET,BitCode Team,ET-15094,Finalizada,Highest,2024-08-13T10:48:40.610-0600,Soporte control contable: Análisis para determinar las causas por las cuales en fecha 02/08/2024 se abrieron varias notas de crédito al ICE TELEFONO.
ET,BitCode Team,ET-15093,Finalizada,Highest,2024-08-13T10:48:19.161-0600,Soporte control contable: Análisis para determinar las causas por las cuales en fecha 02/08/2024 se abrieron varias notas de crédito al ICE TELEFONO.
ET,BitCode Team,ET-15092,Finalizada,Highest,2024-08-13T10:47:58.860-0600,Soporte control contable: ejecución de cierres de recaudación de afiliados y conciliaciones automáticas para el 09-08-2024
ET,BitCode Team,ET-15091,Finalizada,Highest,2024-08-13T10:47:37.310-0600,Soporte control contable: ejecución de cierres de recaudación de afiliados y conciliaciones automáticas para el 06-08-2024.
ET,BitCode Team,ET-15090,Finalizada,Highest,2024-08-13T10:47:12.047-0600,Soporte control contable: ejecución de cierres de recaudación de afiliados y conciliaciones automáticas para el 03-08-2024.
ET,BitCode Team,ET-15089,Tareas por hacer,Highest,2024-08-13T10:46:43.146-0600,Soporte control contable: ejecución de cierres de recaudación de afiliados y conciliaciones automáticas para el 03-08-2024
OS,OPC Squad,OS-12205,Tareas por hacer,Highest,2024-08-13T10:30:27.954-0600,Corrección ajuste de saldos de inversión
ET,BitCode Team,ET-15087,Finalizada,Highest,2024-08-13T09:28:31.535-0600,Soporte control contable: Cierre 13-08-2024
DFD,Defenders,DFD-5391,Tareas por hacer,Highest,2024-08-12T12:10:58.722-0600,Manejo de bloques
DFD,Defenders,DFD-5390,En curso,Highest,2024-08-12T12:10:50.778-0600,Validaciones
DFD,Defenders,DFD-5389,Tareas por hacer,Highest,2024-08-12T12:10:41.320-0600,Envío de los archivos a la carpeta de Unified IP
DFD,Defenders,DFD-5383,En curso,Highest,2024-08-12T12:01:56.490-0600,Adaptar Reporte de W8 BEN
DFD,Defenders,DFD-5382,Finalizada,Highest,2024-08-12T11:54:36.262-0600,Paginación en Reportes 3
DFD,Defenders,DFD-5381,Finalizada,Highest,2024-08-12T11:54:32.768-0600,Paginación en Reportes 2
DFD,Defenders,DFD-5380,Tareas por hacer,Highest,2024-08-12T11:29:03.556-0600,Formulario de Contrato para Transferencia Internacional
DFD,Defenders,DFD-5378,Finalizada,Highest,2024-08-12T10:24:55.933-0600,Paginación en Reportes 1
DFD,Defenders,DFD-5377,Finalizada,Highest,2024-08-12T10:24:37.804-0600,Ajuste al Formulario de Contrato de Cuenta Corriente
VISN,Visionarios,VISN-529,Finalizada,Highest,2024-08-12T09:51:01.528-0600,Ajuste cálculo de intereses acumulados para tasas variables
ET,BitCode Team,ET-15079,Finalizada,Highest,2024-08-12T09:40:07.277-0600,Soporte de cierres del 08/08/2024
