id,min_estimated_time,max_estimated_time,owner,vertical,lab_overview,what_you_will_do,title_autoslug,title,visible_instructors
4821,45,60,"{'id': 29604514, 'title': 'Diogo Alves de Resende', 'url': '/user/diogo-resende-2/'}",gen_ai,"<p>You are a <strong>Data Scientist </strong>at Data Heroes, an online learning platform that offers a variety of courses in data science and analytics. Data Heroes has accumulated a large volume of unstructured user feedback stored in Excel files, and the company is looking to automate its analysis to improve the learning experience. Your task is to build a <strong>Retrieval-Augmented Generation (RAG) system</strong> that transforms this unstructured data into meaningful insights. You will start by loading and cleaning the data, then generate text embeddings using Sentence Transformers, and store them in a FAISS database for fast retrieval. Finally, you will implement a query system that retrieves relevant feedback and uses OpenAI’s GPT model to generate contextual summaries, helping EduTech make data-driven decisions to enhance their courses.</p>","{'items': [""Retrieve relevant documents and generate contextual responses using OpenAI's API"", 'Build a RAG system with unstructured data like Excel', 'Store and query embeddings efficiently using FAISS', ""Generate text embeddings using Hugging Face's Sentence Transformers""]}",build-a-retrieval-augmented-generation-rag-system-with-unstructured-excel-data,Build a Retrieval-Augmented Generation (RAG) System with Unstructured Excel Data,"[{'id': 29604514, 'title': 'Diogo Alves de Resende', 'url': '/user/diogo-resende-2/'}]"
4819,45,120,"{'id': 18861496, 'title': 'Faisal Memon', 'url': '/user/faisal-memon-3/'}",gen_ai,"<p>As a <strong>Junior Developer</strong> at <strong>CodeFlow</strong>, you’re responsible for ensuring that the codebase is both <strong>error-free and optimized</strong> for performance. A critical bug in your<strong> application</strong> has surfaced, and you're tasked with using <strong>AI-driven prompt engineering</strong> to resolve the issue. First, you'll analyze the error using AI-powered debugging suggestions and apply the fix. Once the bug is squashed, your next assignment is to <strong>optimize the code</strong> for better performance using Generative AI and Prompt Engineering to suggest refinements and optimizations.</p><p>By leaning on Generative <strong>AI for troubleshooting and optimization</strong>, you’ll develop faster debugging workflows while <strong>improving code quality</strong>, equipping you with skills essential for any development role.</p>","{'items': ['Leverage Generative AI prompts using Prompt Engineering for debugging and solving common errors efficiently.', 'Iterate and refine prompts to improve the accuracy of Generative AI-driven debugging solutions.', 'Apply Generative AI-generated code fixes based on error analysis.', 'Identify performance bottlenecks in code and use Generative AI to optimize code for speed and memory usage.', 'Understand how prompt engineering can automate and streamline the software development lifecycle, from errors to optimization.']}",ai-assisted-code-debugging-troubleshoot-and-optimize-with-prompt-engineering-and-generative-ai,AI-Assisted Code Debugging: Troubleshoot and Optimize with Prompt Engineering and Generative AI,"[{'id': 18861496, 'title': 'Faisal Memon', 'url': '/user/faisal-memon-3/'}]"
4817,45,120,"{'id': 18861496, 'title': 'Faisal Memon', 'url': '/user/faisal-memon-3/'}",gen_ai,"<p>You’re a <strong>Product Manager</strong> at <strong>InnovateTech</strong>, tasked with spearheading the next wave of enhancements for the company’s popular <strong>Task Management App</strong>. Instead of relying on traditional brainstorming, you will tap into the power of <strong>Generative AI</strong> to ideate innovative features that solve your users' real pain points.</p><p>Through a series of <strong>AI-driven prompts</strong>, you will create new product features, refine them for user alignment, categorize and prioritize them based on business needs, and finally, craft a <strong>presentation using Generative AI and Prompt Engineering</strong>. This presentation will be tailored for stakeholders like your executives or product team, allowing you to fast-track feature approval for development.</p><p>Are you ready to transform your product roadmap with the help of AI? Let's unlock innovation in a fraction of the time.</p>","{'items': ['Generate product feature ideas using Generative AI-powered prompts or Prompt Engineering tailored to user needs.', 'Iterate on AI-generated outputs, refining them for practical value and creativity.', 'Use Generative AI to categorize and prioritize product features based on their business and user impact.', 'Leverage Generative AI and Prompt Engineering to write effective feature descriptions that will resonate with stakeholders.', 'Create presentation-ready slides or outlines, using Generative AI to summarize your findings and justify your product decisions.']}",accelerate-product-innovation-craft-and-present-ai-generated-features-for-product-using-gen-ai,Accelerate Product Innovation: Craft and Present AI-Generated Features for Product using Gen AI,"[{'id': 18861496, 'title': 'Faisal Memon', 'url': '/user/faisal-memon-3/'}]"
4815,45,120,"{'id': 18861496, 'title': 'Faisal Memon', 'url': '/user/faisal-memon-3/'}",gen_ai,"<p>You’re a Senior Developer at <strong>DevMaster</strong>, tasked with improving code review efficiency for junior team submissions. By leveraging <strong>AI and generative prompts</strong>, you'll automate code feedback that identifies weaknesses like security vulnerabilities and inefficiencies. You'll then refine this feedback to include balanced, actionable suggestions for the team to follow. The AI needs to generate detailed feedback that's not just technically accurate but also clear and constructive, helping juniors improve their coding skills while you streamline the review process.</p><p>With AI’s help, you'll optimize code quality without compromising on clarity. Your goal: create a smarter feedback system to limit manual code reviews and ensure your developers grow along the way.</p>","{'items': ['Utilize AI prompts to automate code analysis, identifying technical weaknesses and offering actionable feedback.', 'Generate detailed, balanced feedback for junior developers, combining constructive criticism with positive reinforcement.', 'Refactor and optimize code based on AI-generated feedback, focusing on improving efficiency, security, and readability.', 'Tailor AI-generated feedback for diverse stakeholders, ensuring clear communication that accelerates code review cycles.']}",automating-code-reviews-using-generative-ai-to-generate-actionable-feedback-and-optimize-code,Automating Code Reviews: Using Generative AI to Generate Actionable Feedback and Optimize Code,"[{'id': 18861496, 'title': 'Faisal Memon', 'url': '/user/faisal-memon-3/'}]"
4813,45,120,"{'id': 18861496, 'title': 'Faisal Memon', 'url': '/user/faisal-memon-3/'}",gen_ai,"<p>In today’s fast-moving agile environments, <strong>automating daily standup reports</strong> can save hours of manual work and eliminate reporting inconsistencies across teams. As a <strong>Project Manager at PromptNow</strong>, a rapidly growing company harnessing AI to streamline workflows, you’ve been tasked with automating the team’s <strong>daily standup reporting system</strong>. The goal? To generate <strong>AI-powered reports that dynamically adapt</strong> depending on the audience’s needs.</p><p>In this lab, you’ll use <strong>AI prompt engineering</strong> to automate the process of summarizing team updates, blockers, and key progress for internal managers and senior executives. You’ll start by cleaning unstructured data and leveraging prompts to generate tailored reports for two different stakeholders:</p><ul><li><p><strong>Detailed Standup Reports</strong> for <strong>Managers</strong>, where blockers can be resolved, and in-progress tasks can be tracked.</p></li><li><p><strong>High-Level Summaries</strong> for <strong>Executives</strong>, focusing only on critical outcomes, major achievements, and blockers that may affect project roadmaps.</p></li></ul><p>You are no longer expected to spend hours manually compiling reports. By harnessing <strong>AI’s capability to generate dynamic, audience-targeted summaries</strong>, you’ll deliver <strong>clear, concise</strong>, and <strong>customized reports</strong> at the click of a button. The efficiency you enable will revolutionize how your team operates.</p>","{'items': ['Leverage AI prompts to automate the structuring and summarization of unstructured data, categorizing team updates into clear sections', 'Use prompt engineering to generate detailed reports for internal managers, highlighting task progress and blockers.', 'Refine and iterate AI prompts to enhance the accuracy and clarity of structured reports.', 'Tailor AI-generated reports to meet the needs of different project stakeholders, improving communication and decision-making.', 'Use prompt engineering to create dynamic, audience-specific summaries that optimize team communication and decision-making.']}",automate-agile-standup-reports-with-ai-generate-and-tailor-summaries-for-managers-and-executives,Automate Agile Standup Reports with AI: Generate and Tailor Summaries for Managers and Executives,"[{'id': 18861496, 'title': 'Faisal Memon', 'url': '/user/faisal-memon-3/'}]"
4809,45,60,"{'id': 23218620, 'title': 'Valentin Despa', 'url': '/user/valentin-despa/'}",gen_ai,"<p>You are a prompt engineer tasked with developing a chatbot prompt for a tire mounting company. Your challenge is to design a prompt that ensures the chatbot can provide accurate product advice and price quotes while strictly following the company’s business rules. You will need to incorporate few-shot prompting and negative prompts to guide the chatbot's behavior effectively. Additionally, you must define clear interaction guidelines that prioritize customer service efficiency and ensure the confidentiality of the company’s internal processes, including price calculations and business strategies. The goal is to create a secure, user-friendly interaction while protecting sensitive company information.</p>","{'items': ['Create a clear prompt structure', 'Define interaction flows for chatbot prompts.', 'Apply few-shot prompting in real-world scenarios.', 'Implement negative prompts to refine chatbot behavior.', 'Establish guardrails to protect internal business processes.', 'Optimize prompts for efficient customer engagement.']}",prompt-engineering-design-a-system-prompt-for-a-sales-assistant-chatbot,Prompt Engineering: Design a System Prompt for a Sales Assistant Chatbot,"[{'id': 23218620, 'title': 'Valentin Despa', 'url': '/user/valentin-despa/'}]"
4795,45,60,"{'id': 29604514, 'title': 'Diogo Alves de Resende', 'url': '/user/diogo-resende-2/'}",gen_ai,"<p>You are part of an academic research team at a university, working to help PhD students streamline their literature review process. PhD students often struggle with manually gathering and synthesizing a large number of academic sources. Your role is to build a <strong>Retrieval-Augmented Generation (RAG)</strong> system that automates document retrieval and generates relevant literature reviews. By using <strong>AI Agents</strong>, the system autonomously searches for relevant documents, generates contextually appropriate reviews, and responds to supervisor feedback by improving the content. Your deliverables will include a refined literature review that adheres to APA guidelines and incorporates feedback, showcasing how RAG workflows can revolutionize academic research tasks.</p>","{'items': ['Implement Retrieval-Augmented Generation (RAG) techniques to enhance AI models by integrating document retrieval systems with generated content.', 'Build and deploy AI Agents that autonomously search, retrieve, and analyze relevant documents to support literature reviews and research queries.', 'Integrate Agentic RAG workflows, where AI agents autonomously retrieve information, generate context, and improve output based on feedback loops.', 'Design a retrieval system using FAISS and sentence-transformers for semantic similarity searches.', 'Generate and refine literature reviews using RAG, and using AI agents for constructive feedback and continuous improvement.', ""Generating embeddings with HuggingFace's Sentence Transformers.""]}",deploy-agentic-rag-systems-to-generate-and-improve-document-research-and-reviews,Deploy Agentic RAG Systems to Generate and Improve Document Research and Reviews,"[{'id': 29604514, 'title': 'Diogo Alves de Resende', 'url': '/user/diogo-resende-2/'}]"
4775,45,120,"{'id': 18861496, 'title': 'Faisal Memon', 'url': '/user/faisal-memon-3/'}",gen_ai,"<p>You are a Customer Support Representative at GlobalTech Inc., a leading technology solutions provider that prides itself on exceptional customer service. Your department handles hundreds of customer inquiries daily, ranging from technical issues and billing questions to order status requests. Recently, you've noticed that responding to these inquiries manually is becoming increasingly time-consuming and inconsistent in tone and quality.</p><p>To streamline operations and maintain high standards of communication, GlobalTech Inc. has decided to leverage AI-powered solutions for generating professional email drafts. Your role is to utilize prompt engineering to develop a series of email templates that will automate and enhance the response process.</p>","{'items': ['Develop initial prompts that effectively instruct AI to generate responses tailored to specific customer inquiries.', 'Refine prompts to enhance the quality of AI responses, ensuring they are more detailed and specifically address customer needs.', 'Assess the quality of AI-generated responses in terms of personalization, professionalism, clarity, and helpfulness.', 'Use refined prompts to generate multiple response variations for different customer scenarios, ensuring each response is personalized and contextually good', 'Adjust the tone and structure of AI-generated responses to make them more polished and aligned with professional standards.', 'Create clear, respectful, and supportive communication templates in a customer support context using ChatGPT and Generative']}",improve-customer-support-automate-responses-to-user-queries-with-prompt-engineering-gen-ai,"Improve Customer Support, Automate Responses to User Queries with Prompt Engineering + Gen AI","[{'id': 18861496, 'title': 'Faisal Memon', 'url': '/user/faisal-memon-3/'}]"
4769,60,90,"{'id': 93844932, 'title': 'Praveenkumar Bouna', 'url': '/user/praveenkumar-bouna/'}",gen_ai,"<p>You are part of the BrezyWeather marketing team. Your team is tasked with creating engaging content for a social media campaign highlighting the benefits of using the BrezyWeather app. However, the initial drafts generated by AI models often lack the necessary creativity and appeal. Your task is to write effective prompts that provide helpful and desired results using clear directions, appropriate formats, and relevant examples.</p>","{'items': ['Understand the components of an effective prompt.', 'Utilize various prompt structures like directions, formats, and examples.', 'Craft clear and concise prompts for AI models.']}",writing-effective-prompts-using-directions-formats-and-examples,"Writing Effective Prompts using Directions, Formats, and Examples","[{'id': 93844932, 'title': 'Praveenkumar Bouna', 'url': '/user/praveenkumar-bouna/'}]"
4767,60,90,"{'id': 93844932, 'title': 'Praveenkumar Bouna', 'url': '/user/praveenkumar-bouna/'}",gen_ai,"<p>The BrezyWeather team aims to enhance their app's user experience by concisely summarizing detailed weather forecasts. Currently, users are overwhelmed with lengthy descriptions that make it hard to grasp essential information quickly. Your task is to build a tool that intelligently summarizes these forecasts using <strong>few-shot prompting</strong> and <strong>LangChain</strong>, enabling users to get the gist of the weather conditions.</p>","{'items': ['Implement few-shot prompting techniques.', 'Create and use prompt templates within LangChain.', 'Build simple chains to connect components in a LangChain application.']}",using-few-shot-prompting-to-build-a-weather-forecast-summarizer,Using Few-Shot Prompting to Build a Weather Forecast Summarizer,"[{'id': 93844932, 'title': 'Praveenkumar Bouna', 'url': '/user/praveenkumar-bouna/'}]"
